"offense","offense_conference","defense","defense_conference","game_id","id","scoring","start_period","start_yardline","start_yards_to_goal","start_time.minutes","start_time.seconds","end_period","end_yardline","end_yards_to_goal","end_time.minutes","end_time.seconds","elapsed.minutes","elapsed.seconds","plays","yards","drive_result","week"
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165329",TRUE,4,25,75,10,33,4,66,34,6,11,4,22,9,41,"FG",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165330",FALSE,4,75,75,6,11,4,68,68,4,48,1,23,3,7,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165331",FALSE,4,35,65,4,48,4,77,23,0,0,4,48,11,42,"END OF 4TH QUARTER",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"40111207310",TRUE,2,66,34,13,13,2,100,0,10,53,2,20,6,34,"TD",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"40111207311",FALSE,2,75,75,10,53,2,66,66,9,22,1,31,3,9,"PUNT",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"40111207312",TRUE,2,19,81,9,22,2,100,0,6,48,2,34,7,81,"TD",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"40111207313",FALSE,2,75,75,6,48,2,67,67,5,31,1,17,3,8,"PUNT",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"40111207314",TRUE,2,55,45,5,31,2,100,0,2,20,3,11,8,45,"TD",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"40111207315",FALSE,2,75,75,2,20,2,69,69,1,36,NA,44,3,6,"PUNT",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"40111207316",FALSE,2,22,78,1,36,2,43,57,0,51,NA,45,5,21,"PUNT",1
